TIER,Alimento,Categoria,Proteine (g),Proteine (%),Grassi (g),Grassi (%),Carboidrati (g),Carboidrati (%),Fibre (g),Fibre (%),Omega-3 (ALA) (g),Omega-3 (ALA) (%),Omega-6 (g),Omega-6 (%),Calcio (g),Calcio (%),Ferro (g),Ferro (%),Magnesio (g),Magnesio (%),Potassio (g),Potassio (%),Zinco (g),Zinco (%),Vitamina A (g),Vitamina A (%),Vitamina C (g),Vitamina C (%),Vitamina D (g),Vitamina D (%),Vitamina E (g),Vitamina E (%),Vitamina K (g),Vitamina K (%),Vitamina B6 (g),Vitamina B6 (%),Folati (B9) (g),Folati (B9) (%),Vitamina B12 (g),Vitamina B12 (%)
,Castagna d’acqua,Frutta,1.4,0.028,0.1,0.0014285714285714,23.9,0.0919230769230769,3.0,0.1,0.0,0.0,0.0,0.0,0.011,0.011,6e-05,0.0042857142857142,2.2e-05,5.86666666666667e-05,0.584,0.166857142857143,0.0005,0.05,0.0,0.0,0.004,0.0533333333333333,0.0,0.0,0.0012,0.1,3e-07,0.004,0.000328,0.234285714285714,1.6e-05,0.08,0.0,0.0
,Indivia,Verdura,1.3,0.026,0.2,0.0028571428571428,3.4,0.0130769230769231,3.1,0.103333333333333,0.0,0.0,0.0001,1e-05,0.052,0.052,0.00083,0.0592857142857143,1.5e-05,4e-05,0.314,0.0897142857142857,7.9e-05,0.0079,0.000108,0.135,0.0065,0.0866666666666667,0.0,0.0,0.00044,0.0366666666666667,0.000231,3.08,2e-05,0.0142857142857143,0.000142,0.71,0.0,0.0
,Cavolo,Verdura,1.3,0.026,0.1,0.0014285714285714,5.8,0.0223076923076923,2.5,0.0833333333333333,0.000109,6.8125e-05,3.4e-05,3.4e-06,0.04,0.04,0.00047,0.0335714285714286,1.2e-05,3.2e-05,0.17,0.0485714285714286,1.8e-05,0.0018,5e-06,0.00625,0.037,0.493333333333333,0.0,0.0,0.00015,0.0125,7.6e-05,1.01333333333333,0.000124,0.0885714285714286,4.3e-05,0.215,0.0,0.0
,Lattuga romana,Verdura,1.2,0.024,0.3,0.0042857142857142,3.3,0.0126923076923077,2.1,0.07,0.000113,7.0625e-05,4.7e-05,4.7e-06,0.033,0.033,0.00097,0.0692857142857143,1.4e-05,3.73333333333333e-05,0.247,0.0705714285714286,2.3e-05,0.0023,0.000436,0.545,0.024,0.32,0.0,0.0,0.00013,0.0108333333333333,0.000103,1.37333333333333,7.4e-05,0.0528571428571429,0.000136,0.68,0.0,0.0
,Pastinaca,Verdura,1.2,0.024,0.3,0.0042857142857142,18.0,0.0692307692307692,4.9,0.163333333333333,0.0,0.0,0.000164,1.64e-05,0.036,0.036,0.00059,0.0421428571428571,2.9e-05,7.73333333333333e-05,0.375,0.107142857142857,5.9e-05,0.0059,0.0,0.0,0.017,0.226666666666667,0.0,0.0,0.00098,0.0816666666666667,2.25e-05,0.3,9e-05,0.0642857142857143,6.7e-05,0.335,0.0,0.0
,Cipolle,Verdura,1.1,0.022,0.1,0.0014285714285714,9.3,0.0357692307692308,1.7,0.0566666666666667,4e-06,2.5e-06,6.5e-05,6.5e-06,0.023,0.023,0.00021,0.015,1e-05,2.66666666666667e-05,0.146,0.0417142857142857,1.7e-05,0.0017,0.0,0.0,0.0074,0.0986666666666667,0.0,0.0,2e-05,0.0016666666666666,4e-07,0.0053333333333333,0.00012,0.0857142857142857,1.9e-05,0.095,0.0,0.0
,Melanzane,Verdura,1.0,0.02,0.2,0.0028571428571428,5.9,0.0226923076923077,3.0,0.1,1e-05,6.25e-06,6.3e-05,6.3e-06,0.009,0.009,0.00023,0.0164285714285714,1.4e-05,3.73333333333333e-05,0.229,0.0654285714285714,1.6e-05,0.0016,1e-06,0.00125,0.0022,0.0293333333333333,0.0,0.0,3e-05,0.0025,3.5e-06,0.0466666666666667,8.4e-05,0.06,2.2e-05,0.11,0.0,0.0
,Peperoni,Verdura,0.9,0.018,0.3,0.0042857142857142,6.0,0.0230769230769231,2.1,0.07,1.5e-05,9.375e-06,5.4e-05,5.4e-06,0.007,0.007,0.00043,0.0307142857142857,1.2e-05,3.2e-05,0.211,0.0602857142857143,2.5e-05,0.0025,0.000157,0.19625,0.128,1.70666666666667,0.0,0.0,0.0016,0.133333333333333,4.9e-06,0.0653333333333333,0.000291,0.207857142857143,4.6e-05,0.23,0.0,0.0
,Carote,Verdura,0.9,0.018,0.2,0.0028571428571428,9.6,0.0369230769230769,2.8,0.0933333333333333,2e-06,1.25e-06,0.000115,1.15e-05,0.033,0.033,0.0003,0.0214285714285714,1.2e-05,3.2e-05,0.32,0.0914285714285714,2.4e-05,0.0024,0.000835,1.04375,0.0059,0.0786666666666667,0.0,0.0,0.00066,0.055,1.32e-05,0.176,0.000138,0.0985714285714286,1.9e-05,0.095,0.0,0.0
,Rape,Verdura,0.9,0.018,0.1,0.0014285714285714,6.4,0.0246153846153846,1.8,0.06,4e-05,2.5e-05,1.5e-05,1.5e-06,0.03,0.03,0.0003,0.0214285714285714,1.1e-05,2.93333333333333e-05,0.191,0.0545714285714286,2.7e-05,0.0027,0.0,0.0,0.021,0.28,0.0,0.0,3e-05,0.0025,1e-07,0.0013333333333333,9e-05,0.0642857142857143,1.5e-05,0.075,0.0,0.0
