TIER,Alimento,Categoria,Proteine (g),Proteine (%),Grassi (g),Grassi (%),Carboidrati (g),Carboidrati (%),Fibre (g),Fibre (%),Omega-3 (ALA) (g),Omega-3 (ALA) (%),Omega-6 (g),Omega-6 (%),Calcio (g),Calcio (%),Ferro (g),Ferro (%),Magnesio (g),Magnesio (%),Potassio (g),Potassio (%),Zinco (g),Zinco (%),Vitamina A (g),Vitamina A (%),Vitamina C (g),Vitamina C (%),Vitamina D (g),Vitamina D (%),Vitamina E (g),Vitamina E (%),Vitamina K (g),Vitamina K (%),Vitamina B6 (g),Vitamina B6 (%),Folati (B9) (g),Folati (B9) (%),Vitamina B12 (g),Vitamina B12 (%)
,Cedro,Frutta,1.0,0.028,0.3,0.0057142857142857,9.0,0.0426923076923077,2.6,0.0666666666666667,0.0,2.5e-06,0.0,7.7e-06,0.026,0.013,0.0005,0.0278571428571429,1e-05,2.66666666666667e-05,0.14,0.074,8e-06,0.002,2e-06,0.12,0.048,0.133333333333333,0.0,0.0,0.00016,0.0741666666666667,0.0,0.044,7e-05,0.0385714285714286,1.2e-05,0.045,0.0,0.0
,Sambuco (bacche),Frutta,0.7,0.014,0.5,0.0042857142857142,18.4,0.0438461538461539,7.0,0.0466666666666667,0.00016,1.5e-05,0.0002,4.4e-06,0.038,0.006,0.0016,0.0121428571428571,5e-06,1.86666666666667e-05,0.28,0.0448571428571429,1.1e-05,0.001,3e-05,0.02125,0.036,0.133333333333333,0.0,0.0,0.0,0.0216666666666667,0.0,0.0853333333333333,0.00023,0.0207142857142857,6e-06,0.025,0.0,0.0
,Gelso,Frutta,1.4,0.022,0.4,0.0028571428571428,9.8,0.0615384615384615,1.7,0.07,0.0,1.125e-05,0.0,2.7e-06,0.039,0.013,0.00187,0.0257142857142857,1.8e-05,2.93333333333333e-05,0.194,0.0634285714285714,1.2e-05,0.0007,1e-06,0.00375,0.037,0.0933333333333333,0.0,0.0,0.00087,0.0058333333333333,7.8e-06,0.028,5e-05,0.035,6e-06,0.02,0.0,0.0
,Nespola,Frutta,0.4,0.02,0.2,0.0042857142857142,12.1,0.0469230769230769,1.7,0.0533333333333333,0.0,1.5e-05,0.0,2.8e-06,0.016,0.016,0.00028,0.0228571428571429,1.3e-05,2.4e-05,0.266,0.0494285714285714,5e-06,0.001,7.6e-05,0.08,0.001,0.133333333333333,0.0,0.0,0.00089,0.0058333333333333,0.0,0.0253333333333333,0.0001,0.0314285714285714,1.4e-05,0.04,0.0,0.0
,Melarosa (Pomelo),Frutta,0.8,0.012,0.04,0.0028571428571428,9.6,0.0292307692307692,1.0,0.0133333333333333,0.0,1.1875e-05,0.0,2.5e-06,0.004,0.007,0.00011,0.0171428571428571,6e-06,2.66666666666667e-05,0.216,0.032,8e-06,0.001,0.0,0.035,0.061,0.106666666666667,0.0,0.0,0.0,0.0041666666666666,0.0,0.0013333333333333,3.6e-05,0.0321428571428572,0.0,0.015,0.0,0.0
,Feijoa,Frutta,1.0,0.016,0.6,0.0028571428571428,13.0,0.0315384615384615,6.4,0.03,0.0,1.6875e-05,0.0,3.4e-06,0.017,0.009,0.00014,0.015,9e-06,3.2e-05,0.172,0.0762857142857143,4e-06,0.0018,6e-06,0.21125,0.033,0.493333333333333,0.0,0.0,0.0,0.0041666666666666,0.0,0.0333333333333333,6.7e-05,0.0514285714285714,2.3e-05,0.105,0.0,0.0
,Tamarindo,Frutta,2.8,0.01,0.6,0.0014285714285714,62.5,0.035,5.1,0.0266666666666667,0.0,8.125e-06,0.0,1.3e-06,0.074,0.006,0.0028,0.0121428571428571,9.2e-05,2.66666666666667e-05,0.628,0.0651428571428571,1e-05,0.0009,2e-06,0.00375,0.004,0.24,0.0,0.0,8e-05,0.0016666666666666,2.8e-06,0.0373333333333333,6.6e-05,0.0628571428571429,1.4e-05,0.095,0.0,0.0
,Platano (da cuocere),Frutta,1.3,0.012,0.4,0.0014285714285714,31.9,0.0280769230769231,2.3,0.0166666666666667,5e-05,6.25e-06,7e-05,1.5e-06,0.003,0.011,0.0006,0.02,3.7e-05,3.2e-05,0.499,0.0428571428571429,1.4e-05,0.0007,5.6e-05,0.00625,0.018,0.173333333333333,0.0,0.0,0.00014,0.0083333333333333,7e-07,0.0333333333333333,0.000299,0.0321428571428572,2.2e-05,0.02,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,--- CARNE ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manzo - Filetto,Carne,20.9,0.418,10.5,0.15,0.0,0.0,0.0,0.0,2.1e-05,1.3125e-05,0.00029,2.9e-05,0.012,0.012,0.0022,0.157142857142857,2.2e-05,5.86666666666667e-05,0.323,0.0922857142857143,0.004,0.4,0.0,0.0,0.0,0.0,3e-06,0.2,0.00027,0.0225,1.4e-06,0.0186666666666667,0.00055,0.392857142857143,6e-06,0.03,2e-06,0.8
,Manzo - Controfiletto,Carne,21.3,0.426,14.2,0.202857142857143,0.0,0.0,0.0,0.0,2.5e-05,1.5625e-05,0.00038,3.8e-05,0.011,0.011,0.002,0.142857142857143,2e-05,5.33333333333333e-05,0.31,0.0885714285714286,0.0042,0.42,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00021,0.0175,1.2e-06,0.016,0.00052,0.371428571428571,5e-06,0.025,2.4e-06,0.96
,Manzo - Costata,Carne,17.5,0.35,21.5,0.307142857142857,0.0,0.0,0.0,0.0,3e-05,1.875e-05,0.00055,5.5e-05,0.01,0.01,0.0018,0.128571428571429,1.8e-05,4.8e-05,0.278,0.0794285714285714,0.0038,0.38,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00018,0.015,1.1e-06,0.0146666666666667,0.00043,0.307142857142857,5e-06,0.025,2.2e-06,0.88
,Manzo - Macinato (magro),Carne,21.4,0.428,10.0,0.142857142857143,0.0,0.0,0.0,0.0,1.9e-05,1.1875e-05,0.00026,2.6e-05,0.012,0.012,0.0024,0.171428571428571,2e-05,5.33333333333333e-05,0.315,0.09,0.0047,0.47,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00025,0.0208333333333333,1.3e-06,0.0173333333333333,0.00038,0.271428571428571,6e-06,0.03,2.6e-06,1.04
,Manzo - Macinato (grasso),Carne,17.2,0.344,20.0,0.285714285714286,0.0,0.0,0.0,0.0,2.5e-05,1.5625e-05,0.00048,4.8e-05,0.018,0.018,0.0021,0.15,1.7e-05,4.53333333333333e-05,0.27,0.0771428571428572,0.0043,0.43,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.0002,0.0166666666666667,1.5e-06,0.02,0.00033,0.235714285714286,6e-06,0.03,2.1e-06,0.84
,Manzo - Fesa,Carne,22.0,0.44,5.0,0.0714285714285714,0.0,0.0,0.0,0.0,1.2e-05,7.5e-06,0.00015,1.5e-05,0.006,0.006,0.002,0.142857142857143,2.4e-05,6.4e-05,0.355,0.101428571428571,0.0038,0.38,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.0003,0.025,1.2e-06,0.016,0.0006,0.428571428571429,5e-06,0.025,2e-06,0.8
,Manzo - Girello,Carne,22.5,0.45,3.5,0.05,0.0,0.0,0.0,0.0,1e-05,6.25e-06,0.00012,1.2e-05,0.005,0.005,0.0021,0.15,2.5e-05,6.66666666666667e-05,0.365,0.104285714285714,0.0036,0.36,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00032,0.0266666666666667,1e-06,0.0133333333333333,0.00062,0.442857142857143,5e-06,0.025,2.1e-06,0.84
,Manzo - Brasato,Carne,26.5,0.53,8.2,0.117142857142857,0.0,0.0,0.0,0.0,2e-05,1.25e-05,0.00025,2.5e-05,0.011,0.011,0.0028,0.2,2.2e-05,5.86666666666667e-05,0.29,0.0828571428571429,0.0052,0.52,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00015,0.0125,1.4e-06,0.0186666666666667,0.00029,0.207142857142857,8e-06,0.04,2.8e-06,1.12
,Manzo - Lingua,Carne,16.0,0.32,16.0,0.228571428571429,3.0,0.0115384615384615,0.0,0.0,2.5e-05,1.5625e-05,0.00035,3.5e-05,0.007,0.007,0.0029,0.207142857142857,1.5e-05,4e-05,0.28,0.08,0.0029,0.29,0.0,0.0,0.003,0.04,2e-06,0.133333333333333,0.00032,0.0266666666666667,4e-07,0.0053333333333333,0.00014,0.1,4e-06,0.02,3.6e-06,1.44
,Manzo - Fegato,Carne,20.4,0.408,3.6,0.0514285714285714,3.9,0.015,0.0,0.0,2e-05,1.25e-05,0.0003,3e-05,0.005,0.005,0.0049,0.35,1.8e-05,4.8e-05,0.313,0.0894285714285714,0.004,0.4,0.009442,11.8025,0.001,0.0133333333333333,1.2e-06,0.08,0.00038,0.0316666666666667,3.1e-06,0.0413333333333333,0.001083,0.773571428571429,0.00029,1.45,5.98e-05,23.92
,Manzo - Cuore,Carne,17.7,0.354,4.0,0.0571428571428571,0.1,0.0003846153846153,0.0,0.0,3e-05,1.875e-05,0.0002,2e-05,0.007,0.007,0.0047,0.335714285714286,2.1e-05,5.6e-05,0.287,0.082,0.0017,0.17,0.0,0.0,0.002,0.0266666666666667,0.0,0.0,0.00022,0.0183333333333333,0.0,0.0,0.000286,0.204285714285714,3e-06,0.015,8.4e-06,3.36
,Vitello - Scaloppina,Carne,21.0,0.42,3.0,0.0428571428571429,0.0,0.0,0.0,0.0,8e-06,5e-06,0.0001,1e-05,0.01,0.01,0.0009,0.0642857142857143,2.4e-05,6.4e-05,0.325,0.0928571428571429,0.0028,0.28,0.0,0.0,0.0,0.0,3e-06,0.2,0.00028,0.0233333333333333,0.0,0.0,0.00043,0.307142857142857,1.2e-05,0.06,1.4e-06,0.56
,Vitello - Costoletta,Carne,19.4,0.388,8.5,0.121428571428571,0.0,0.0,0.0,0.0,1.5e-05,9.375e-06,0.0002,2e-05,0.012,0.012,0.00085,0.0607142857142857,2.2e-05,5.86666666666667e-05,0.31,0.0885714285714286,0.0026,0.26,0.0,0.0,0.0,0.0,3e-06,0.2,0.00025,0.0208333333333333,0.0,0.0,0.00038,0.271428571428571,1.1e-05,0.055,1.2e-06,0.48
,Vitello - Fegato,Carne,19.2,0.384,4.8,0.0685714285714286,3.1,0.0119230769230769,0.0,0.0,1.8e-05,1.125e-05,0.00025,2.5e-05,0.007,0.007,0.006,0.428571428571429,1.9e-05,5.06666666666667e-05,0.3,0.0857142857142857,0.0059,0.59,0.0219,27.375,0.001,0.0133333333333333,1e-06,0.0666666666666667,0.0005,0.0416666666666667,2e-06,0.0266666666666667,0.0008,0.571428571428572,0.00033,1.65,8.4e-05,33.6
,Vitello - Ossobuco,Carne,19.0,0.38,5.5,0.0785714285714286,0.0,0.0,0.0,0.0,1.2e-05,7.5e-06,0.00015,1.5e-05,0.02,0.02,0.001,0.0714285714285714,2e-05,5.33333333333333e-05,0.29,0.0828571428571429,0.0035,0.35,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.0002,0.0166666666666667,0.0,0.0,0.00035,0.25,8e-06,0.04,1.1e-06,0.44
,Maiale - Lonza,Carne,21.1,0.422,6.5,0.0928571428571429,0.0,0.0,0.0,0.0,1e-05,6.25e-06,0.00055,5.5e-05,0.006,0.006,0.0008,0.0571428571428571,2.6e-05,6.93333333333333e-05,0.423,0.120857142857143,0.0019,0.19,2e-06,0.0025,0.0,0.0,5e-07,0.0333333333333333,0.0002,0.0166666666666667,0.0,0.0,0.00054,0.385714285714286,5e-06,0.025,5e-07,0.2
,Maiale - Filetto,Carne,22.2,0.444,3.5,0.05,0.0,0.0,0.0,0.0,7e-06,4.375e-06,0.00032,3.2e-05,0.005,0.005,0.001,0.0714285714285714,2.8e-05,7.46666666666667e-05,0.46,0.131428571428571,0.002,0.2,0.0,0.0,0.001,0.0133333333333333,6e-07,0.04,0.00024,0.02,0.0,0.0,0.00075,0.535714285714286,5e-06,0.025,6e-07,0.24
,Maiale - Costine,Carne,15.5,0.31,23.0,0.328571428571429,0.0,0.0,0.0,0.0,2.5e-05,1.5625e-05,0.0018,0.00018,0.02,0.02,0.0009,0.0642857142857143,1.7e-05,4.53333333333333e-05,0.26,0.0742857142857143,0.0028,0.28,2e-06,0.0025,0.0,0.0,4e-07,0.0266666666666667,0.00015,0.0125,0.0,0.0,0.00032,0.228571428571429,4e-06,0.02,5e-07,0.2
,Maiale - Braciola,Carne,20.7,0.414,8.0,0.114285714285714,0.0,0.0,0.0,0.0,1.2e-05,7.5e-06,0.0007,7e-05,0.008,0.008,0.00085,0.0607142857142857,2.4e-05,6.4e-05,0.38,0.108571428571429,0.0021,0.21,2e-06,0.0025,0.0,0.0,5e-07,0.0333333333333333,0.00018,0.015,0.0,0.0,0.00048,0.342857142857143,5e-06,0.025,5e-07,0.2
,Maiale - Spalla,Carne,17.0,0.34,15.0,0.214285714285714,0.0,0.0,0.0,0.0,1.8e-05,1.125e-05,0.0012,0.00012,0.01,0.01,0.00095,0.0678571428571429,2e-05,5.33333333333333e-05,0.32,0.0914285714285714,0.0032,0.32,2e-06,0.0025,0.0,0.0,4e-07,0.0266666666666667,0.00014,0.0116666666666667,0.0,0.0,0.00038,0.271428571428571,4e-06,0.02,6e-07,0.24
,Maiale - Guanciale,Carne,8.0,0.16,55.0,0.785714285714286,0.0,0.0,0.0,0.0,5e-05,3.125e-05,0.0055,0.00055,0.005,0.005,0.0005,0.0357142857142857,8e-06,2.13333333333333e-05,0.15,0.0428571428571429,0.0013,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0083333333333333,0.0,0.0,0.00015,0.107142857142857,2e-06,0.01,3e-07,0.12
,Maiale - Pancetta,Carne,9.0,0.18,45.0,0.642857142857143,0.0,0.0,0.0,0.0,4.5e-05,2.8125e-05,0.0045,0.00045,0.007,0.007,0.0007,0.05,1e-05,2.66666666666667e-05,0.18,0.0514285714285714,0.0015,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.01,0.0,0.0,0.0002,0.142857142857143,2e-06,0.01,4e-07,0.16
,Maiale - Lardo,Carne,2.9,0.058,92.0,1.31428571428571,0.0,0.0,0.0,0.0,0.0001,6.25e-05,0.0092,0.00092,0.002,0.002,0.0003,0.0214285714285714,2e-06,5.33333333333333e-06,0.065,0.0185714285714286,0.0004,0.04,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.005,0.0,0.0,2e-05,0.0142857142857143,1e-06,0.005,1e-07,0.04
,Maiale - Fegato,Carne,21.4,0.428,3.7,0.0528571428571429,2.5,0.0096153846153846,0.0,0.0,1.5e-05,9.375e-06,0.00035,3.5e-05,0.009,0.009,0.018,1.28571428571429,1.8e-05,4.8e-05,0.273,0.078,0.0059,0.59,0.0065,8.125,0.023,0.306666666666667,1e-06,0.0666666666666667,0.00035,0.0291666666666667,1e-06,0.0133333333333333,0.00068,0.485714285714286,0.000212,1.06,2.6e-05,10.4
,Pollo - Petto,Carne,23.1,0.462,1.2,0.0171428571428571,0.0,0.0,0.0,0.0,8e-06,5e-06,0.00012,1.2e-05,0.005,0.005,0.0004,0.0285714285714286,2.8e-05,7.46666666666667e-05,0.37,0.105714285714286,0.0007,0.07,6e-06,0.0075,0.0,0.0,2e-07,0.0133333333333333,0.00021,0.0175,0.0,0.0,0.00085,0.607142857142857,4e-06,0.02,3e-07,0.12
,Pollo - Coscia,Carne,18.2,0.364,10.9,0.155714285714286,0.0,0.0,0.0,0.0,3e-05,1.875e-05,0.0018,0.00018,0.011,0.011,0.0009,0.0642857142857143,2.2e-05,5.86666666666667e-05,0.245,0.07,0.0018,0.18,4.8e-05,0.06,0.0,0.0,2e-07,0.0133333333333333,0.00018,0.015,2.5e-06,0.0333333333333333,0.00031,0.221428571428571,8e-06,0.04,4e-07,0.16
,Pollo - Ala,Carne,18.3,0.366,15.1,0.215714285714286,0.0,0.0,0.0,0.0,4e-05,2.5e-05,0.0025,0.00025,0.013,0.013,0.001,0.0714285714285714,2e-05,5.33333333333333e-05,0.21,0.06,0.0017,0.17,4e-05,0.05,0.0,0.0,2e-07,0.0133333333333333,0.0002,0.0166666666666667,0.0,0.0,0.00035,0.25,5e-06,0.025,3e-07,0.12
,Pollo - Fegato,Carne,16.9,0.338,4.8,0.0685714285714286,0.7,0.0026923076923076,0.0,0.0,1.5e-05,9.375e-06,0.00075,7.5e-05,0.008,0.008,0.009,0.642857142857143,1.9e-05,5.06666666666667e-05,0.23,0.0657142857142857,0.0027,0.27,0.003296,4.12,0.018,0.24,2e-07,0.0133333333333333,0.00025,0.0208333333333333,0.0,0.0,0.00085,0.607142857142857,0.000588,2.94,1.66e-05,6.64
,Pollo - Cuore,Carne,15.6,0.312,9.3,0.132857142857143,0.1,0.0003846153846153,0.0,0.0,2e-05,1.25e-05,0.0012,0.00012,0.012,0.012,0.0058,0.414285714285714,1.5e-05,4e-05,0.176,0.0502857142857143,0.0041,0.41,9e-06,0.01125,0.003,0.04,0.0,0.0,0.00015,0.0125,0.0,0.0,0.00027,0.192857142857143,7.1e-05,0.355,7.6e-06,3.04
,Tacchino - Petto,Carne,24.6,0.492,1.0,0.0142857142857143,0.0,0.0,0.0,0.0,6e-06,3.75e-06,0.0001,1e-05,0.004,0.004,0.0004,0.0285714285714286,3e-05,8e-05,0.38,0.108571428571429,0.0012,0.12,5e-06,0.00625,0.0,0.0,2e-07,0.0133333333333333,7e-05,0.0058333333333333,0.0,0.0,0.0008,0.571428571428572,6e-06,0.03,4e-07,0.16
,Tacchino - Coscia,Carne,20.1,0.402,8.0,0.114285714285714,0.0,0.0,0.0,0.0,2.5e-05,1.5625e-05,0.0016,0.00016,0.02,0.02,0.0015,0.107142857142857,2.4e-05,6.4e-05,0.28,0.08,0.0032,0.32,1.2e-05,0.015,0.0,0.0,3e-07,0.02,0.00012,0.01,2e-06,0.0266666666666667,0.00042,0.3,8e-06,0.04,6e-07,0.24
,Tacchino - Macinato,Carne,21.0,0.42,10.0,0.142857142857143,0.0,0.0,0.0,0.0,3e-05,1.875e-05,0.0019,0.00019,0.018,0.018,0.0014,0.1,2.2e-05,5.86666666666667e-05,0.265,0.0757142857142857,0.0029,0.29,1e-05,0.0125,0.0,0.0,3e-07,0.02,0.00015,0.0125,0.0,0.0,0.0005,0.357142857142857,7e-06,0.035,5e-07,0.2
,Tacchino - Fegato,Carne,18.3,0.366,4.4,0.0628571428571429,2.3,0.0088461538461538,0.0,0.0,1.2e-05,7.5e-06,0.0006,6e-05,0.008,0.008,0.0075,0.535714285714286,1.9e-05,5.06666666666667e-05,0.25,0.0714285714285714,0.0023,0.23,0.008058,10.0725,0.003,0.04,2e-07,0.0133333333333333,0.00038,0.0316666666666667,0.0,0.0,0.0007,0.5,0.000677,3.385,3.84e-05,15.36
,Anatra - Petto,Carne,19.0,0.38,6.0,0.0857142857142857,0.0,0.0,0.0,0.0,2e-05,1.25e-05,0.0009,9e-05,0.01,0.01,0.0025,0.178571428571429,1.9e-05,5.06666666666667e-05,0.285,0.0814285714285714,0.0018,0.18,2.5e-05,0.03125,0.003,0.04,3e-07,0.02,0.0005,0.0416666666666667,2.5e-06,0.0333333333333333,0.00045,0.321428571428571,6e-06,0.03,3e-07,0.12
,Anatra - Coscia,Carne,17.0,0.34,14.0,0.2,0.0,0.0,0.0,0.0,3.5e-05,2.1875e-05,0.0021,0.00021,0.012,0.012,0.0028,0.2,1.7e-05,4.53333333333333e-05,0.25,0.0714285714285714,0.002,0.2,3.5e-05,0.04375,0.003,0.04,3e-07,0.02,0.00055,0.0458333333333333,3e-06,0.04,0.00035,0.25,8e-06,0.04,3e-07,0.12
,Anatra - Fegato (foie gras),Carne,11.4,0.228,43.8,0.625714285714286,4.7,0.0180769230769231,0.0,0.0,5e-05,3.125e-05,0.0032,0.00032,0.042,0.042,0.023,1.64285714285714,1.3e-05,3.46666666666667e-05,0.138,0.0394285714285714,0.0009,0.09,0.001001,1.25125,0.002,0.0266666666666667,2.8e-06,0.186666666666667,0.002,0.166666666666667,0.0,0.0,0.00052,0.371428571428571,0.000566,2.83,5.4e-05,21.6
,Oca - Petto,Carne,22.8,0.456,7.1,0.101428571428571,0.0,0.0,0.0,0.0,2.2e-05,1.375e-05,0.001,0.0001,0.013,0.013,0.0026,0.185714285714286,2.3e-05,6.13333333333333e-05,0.33,0.0942857142857143,0.002,0.2,1.5e-05,0.01875,0.004,0.0533333333333333,3e-07,0.02,0.0007,0.0583333333333333,0.0,0.0,0.0006,0.428571428571429,1e-05,0.05,4e-07,0.16
,Oca - Coscia,Carne,18.5,0.37,18.0,0.257142857142857,0.0,0.0,0.0,0.0,4e-05,2.5e-05,0.0025,0.00025,0.014,0.014,0.003,0.214285714285714,2e-05,5.33333333333333e-05,0.28,0.08,0.0022,0.22,2.5e-05,0.03125,0.004,0.0533333333333333,3e-07,0.02,0.0008,0.0666666666666667,3e-06,0.04,0.0004,0.285714285714286,1.2e-05,0.06,4e-07,0.16
,Agnello - Cosciotto,Carne,18.0,0.36,14.0,0.2,0.0,0.0,0.0,0.0,8e-05,5e-05,0.00065,6.5e-05,0.017,0.017,0.0017,0.121428571428571,2.2e-05,5.86666666666667e-05,0.31,0.0885714285714286,0.0036,0.36,0.0,0.0,0.0,0.0,3e-06,0.2,0.0001,0.0083333333333333,4e-06,0.0533333333333333,0.00013,0.0928571428571429,2e-05,0.1,2.6e-06,1.04
,Agnello - Costolette,Carne,16.5,0.33,21.0,0.3,0.0,0.0,0.0,0.0,0.00012,7.5e-05,0.001,0.0001,0.02,0.02,0.0016,0.114285714285714,1.9e-05,5.06666666666667e-05,0.275,0.0785714285714286,0.0033,0.33,0.0,0.0,0.0,0.0,3e-06,0.2,0.00012,0.01,4.5e-06,0.06,0.00011,0.0785714285714286,1.8e-05,0.09,2.4e-06,0.96
,Agnello - Spalla,Carne,17.1,0.342,17.5,0.25,0.0,0.0,0.0,0.0,0.0001,6.25e-05,0.0008,8e-05,0.018,0.018,0.0018,0.128571428571429,2e-05,5.33333333333333e-05,0.29,0.0828571428571429,0.004,0.4,0.0,0.0,0.0,0.0,3e-06,0.2,0.00011,0.0091666666666666,4.2e-06,0.056,0.00012,0.0857142857142857,1.9e-05,0.095,2.5e-06,1.0
,Agnello - Fegato,Carne,20.4,0.408,5.7,0.0814285714285714,1.8,0.0069230769230769,0.0,0.0,3e-05,1.875e-05,0.00035,3.5e-05,0.007,0.007,0.0078,0.557142857142857,1.9e-05,5.06666666666667e-05,0.28,0.08,0.005,0.5,0.007391,9.23875,0.004,0.0533333333333333,1e-06,0.0666666666666667,0.0004,0.0333333333333333,0.0,0.0,0.00045,0.321428571428571,0.0004,2.0,9e-05,36.0
,Capretto - Cosciotto,Carne,20.6,0.412,3.0,0.0428571428571429,0.0,0.0,0.0,0.0,2.5e-05,1.5625e-05,0.0002,2e-05,0.013,0.013,0.0025,0.178571428571429,2.3e-05,6.13333333333333e-05,0.385,0.11,0.004,0.4,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00015,0.0125,0.0,0.0,0.0004,0.285714285714286,6e-06,0.03,1.1e-06,0.44
,Capretto - Costolette,Carne,19.5,0.39,5.5,0.0785714285714286,0.0,0.0,0.0,0.0,3.5e-05,2.1875e-05,0.0003,3e-05,0.015,0.015,0.0023,0.164285714285714,2.1e-05,5.6e-05,0.36,0.102857142857143,0.0038,0.38,0.0,0.0,0.0,0.0,2e-06,0.133333333333333,0.00018,0.015,0.0,0.0,0.00035,0.25,7e-06,0.035,1e-06,0.4
,Coniglio - Coscia,Carne,21.0,0.42,8.0,0.114285714285714,0.0,0.0,0.0,0.0,2e-05,1.25e-05,0.0005,5e-05,0.013,0.013,0.0018,0.128571428571429,3e-05,8e-05,0.34,0.0971428571428572,0.0018,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0333333333333333,0.0,0.0,0.00048,0.342857142857143,9e-06,0.045,7.1e-06,2.84
,Coniglio - Lombata,Carne,22.0,0.44,5.0,0.0714285714285714,0.0,0.0,0.0,0.0,1.5e-05,9.375e-06,0.00035,3.5e-05,0.01,0.01,0.002,0.142857142857143,3.2e-05,8.53333333333333e-05,0.37,0.105714285714286,0.0016,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0375,0.0,0.0,0.00052,0.371428571428571,8e-06,0.04,7.3e-06,2.92
,Coniglio - Fegato,Carne,19.0,0.38,5.0,0.0714285714285714,3.0,0.0115384615384615,0.0,0.0,1e-05,6.25e-06,0.0004,4e-05,0.008,0.008,0.011,0.785714285714286,2.5e-05,6.66666666666667e-05,0.29,0.0828571428571429,0.0035,0.35,0.012,15.0,0.006,0.08,5e-07,0.0333333333333333,0.0004,0.0333333333333333,0.0,0.0,0.0006,0.428571428571429,0.00035,1.75,7.2e-05,28.8
,Cavallo - Filetto,Carne,21.4,0.428,2.6,0.0371428571428571,0.0,0.0,0.0,0.0,1e-05,6.25e-06,0.00015,1.5e-05,0.007,0.007,0.0039,0.278571428571429,2.4e-05,6.4e-05,0.33,0.0942857142857143,0.003,0.3,0.0,0.0,0.002,0.0266666666666667,0.0,0.0,0.0004,0.0333333333333333,0.0,0.0,0.0004,0.285714285714286,5e-06,0.025,3e-06,1.2
,Cavallo - Bistecca,Carne,20.0,0.4,4.5,0.0642857142857143,0.0,0.0,0.0,0.0,1.5e-05,9.375e-06,0.00022,2.2e-05,0.008,0.008,0.0037,0.264285714285714,2.2e-05,5.86666666666667e-05,0.315,0.09,0.0028,0.28,0.0,0.0,0.002,0.0266666666666667,0.0,0.0,0.00035,0.0291666666666667,0.0,0.0,0.00038,0.271428571428571,5e-06,0.025,2.8e-06,1.12
,Cavallo - Bresaola,Carne,32.0,0.64,2.5,0.0357142857142857,0.0,0.0,0.0,0.0,8e-06,5e-06,0.0001,1e-05,0.012,0.012,0.0029,0.207142857142857,2.5e-05,6.66666666666667e-05,0.45,0.128571428571429,0.0045,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.05,0.0,0.0,0.00035,0.25,6e-06,0.03,2.5e-06,1.0
,Cervo - Filetto,Carne,22.5,0.45,2.4,0.0342857142857143,0.0,0.0,0.0,0.0,2e-05,1.25e-05,0.00018,1.8e-05,0.006,0.006,0.0034,0.242857142857143,2.4e-05,6.4e-05,0.33,0.0942857142857143,0.0023,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0208333333333333,0.0,0.0,0.00045,0.321428571428571,4e-06,0.02,2e-06,0.8
,Cervo - Cosciotto,Carne,21.0,0.42,3.5,0.05,0.0,0.0,0.0,0.0,2.5e-05,1.5625e-05,0.00022,2.2e-05,0.007,0.007,0.0032,0.228571428571429,2.3e-05,6.13333333333333e-05,0.318,0.0908571428571429,0.0025,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0233333333333333,0.0,0.0,0.00042,0.3,5e-06,0.025,2.2e-06,0.88
,Cinghiale - Coscia,Carne,21.5,0.43,3.3,0.0471428571428571,0.0,0.0,0.0,0.0,3e-05,1.875e-05,0.00025,2.5e-05,0.012,0.012,0.0028,0.2,2.6e-05,6.93333333333333e-05,0.35,0.1,0.0032,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.025,0.0,0.0,0.00038,0.271428571428571,5e-06,0.025,1.8e-06,0.72
,Cinghiale - Spalla,Carne,19.8,0.396,5.5,0.0785714285714286,0.0,0.0,0.0,0.0,4e-05,2.5e-05,0.00035,3.5e-05,0.014,0.014,0.0026,0.185714285714286,2.4e-05,6.4e-05,0.32,0.0914285714285714,0.0035,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0233333333333333,0.0,0.0,0.00035,0.25,6e-06,0.03,1.6e-06,0.64
